"Statistic Label","Census Year","Sex","CSO Electoral Divisions 2022","UNIT","VALUE"
"Persons with a disability","2022","Males","Blackrock-Newpark, Dún Laoghaire-Rathdown","Number","252"
"Persons with a disability","2022","Males","Blackrock-Seapoint, Dún Laoghaire-Rathdown","Number","128"
"Persons with a disability","2022","Males","Blackrock-Stradbrook, Dún Laoghaire-Rathdown","Number","276"
"Persons with a disability","2022","Males","Blackrock-Templehill, Dún Laoghaire-Rathdown","Number","274"
"Persons with a disability","2022","Males","Blackrock-Williamstown, Dún Laoghaire-Rathdown","Number","277"
"Persons with a disability","2022","Males","Cabinteely-Granitefield, Dún Laoghaire-Rathdown","Number","322"
"Persons with a disability","2022","Males","Cabinteely-Kilbogget, Dún Laoghaire-Rathdown","Number","337"
"Persons with a disability","2022","Males","Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown","Number","384"
"Persons with a disability","2022","Males","Cabinteely-Pottery, Dún Laoghaire-Rathdown","Number","589"
"Persons with a disability","2022","Males","Churchtown-Castle, Dún Laoghaire-Rathdown","Number","187"
"Persons with a disability","2022","Males","Churchtown-Landscape, Dún Laoghaire-Rathdown","Number","138"
"Persons with a disability","2022","Males","Churchtown-Nutgrove, Dún Laoghaire-Rathdown","Number","381"
"Persons with a disability","2022","Males","Churchtown-Orwell, Dún Laoghaire-Rathdown","Number","198"
"Persons with a disability","2022","Males","Churchtown-Woodlawn, Dún Laoghaire-Rathdown","Number","152"
"Persons with a disability","2022","Males","Clonskeagh-Belfield, Dún Laoghaire-Rathdown","Number","299"
"Persons with a disability","2022","Males","Clonskeagh-Farranboley, Dún Laoghaire-Rathdown","Number","205"
"Persons with a disability","2022","Males","Clonskeagh-Milltown, Dún Laoghaire-Rathdown","Number","158"
"Persons with a disability","2022","Males","Clonskeagh-Roebuck, Dún Laoghaire-Rathdown","Number","267"
"Persons with a disability","2022","Males","Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown","Number","328"
"Persons with a disability","2022","Males","Dalkey Hill, Dún Laoghaire-Rathdown","Number","186"
"Persons with a disability","2022","Males","Dalkey Upper, Dún Laoghaire-Rathdown","Number","221"
"Persons with a disability","2022","Males","Dalkey-Avondale, Dún Laoghaire-Rathdown","Number","145"
"Persons with a disability","2022","Males","Dalkey-Bullock, Dún Laoghaire-Rathdown","Number","203"
"Persons with a disability","2022","Males","Dalkey-Coliemore, Dún Laoghaire-Rathdown","Number","162"
"Persons with a disability","2022","Males","Dundrum-Balally, Dún Laoghaire-Rathdown","Number","779"
"Persons with a disability","2022","Males","Dundrum-Kilmacud, Dún Laoghaire-Rathdown","Number","311"
"Persons with a disability","2022","Males","Dundrum-Sandyford, Dún Laoghaire-Rathdown","Number","684"
"Persons with a disability","2022","Males","Dundrum-Sweetmount, Dún Laoghaire-Rathdown","Number","256"
"Persons with a disability","2022","Males","Dundrum-Taney, Dún Laoghaire-Rathdown","Number","289"
"Persons with a disability","2022","Males","Dún Laoghaire-East Central, Dún Laoghaire-Rathdown","Number","243"
"Persons with a disability","2022","Males","Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown","Number","345"
"Persons with a disability","2022","Males","Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown","Number","356"
"Persons with a disability","2022","Males","Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown","Number","268"
"Persons with a disability","2022","Males","Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown","Number","232"
"Persons with a disability","2022","Males","Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown","Number","302"
"Persons with a disability","2022","Males","Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown","Number","203"
"Persons with a disability","2022","Males","Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown","Number","380"
"Persons with a disability","2022","Males","Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown","Number","184"
"Persons with a disability","2022","Males","Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown","Number","383"
"Persons with a disability","2022","Males","Dún Laoghaire-West Central, Dún Laoghaire-Rathdown","Number","363"
"Persons with a disability","2022","Males","Foxrock-Beechpark, Dún Laoghaire-Rathdown","Number","198"
"Persons with a disability","2022","Males","Foxrock-Carrickmines, Dún Laoghaire-Rathdown","Number","566"
"Persons with a disability","2022","Males","Foxrock-Deansgrange, Dún Laoghaire-Rathdown","Number","248"
"Persons with a disability","2022","Males","Foxrock-Torquay, Dún Laoghaire-Rathdown","Number","123"
"Persons with a disability","2022","Males","Glencullen, Dún Laoghaire-Rathdown","Number","1911"
"Persons with a disability","2022","Males","Killiney North, Dún Laoghaire-Rathdown","Number","319"
"Persons with a disability","2022","Males","Killiney South, Dún Laoghaire-Rathdown","Number","745"
"Persons with a disability","2022","Males","Shankill-Rathmichael, Dún Laoghaire-Rathdown","Number","601"
"Persons with a disability","2022","Males","Shankill-Rathsallagh, Dún Laoghaire-Rathdown","Number","439"
"Persons with a disability","2022","Males","Shankill-Shanganagh, Dún Laoghaire-Rathdown","Number","588"
